# Adding new items: 
# key name 
# name item 
# cost 
# mass in kg 
# location- for armor T -torse, H - head, L - legs, A - Arms 
# BAR - M/B/E/X 
#Notes 
 
############################################### 
# Personal Armor - persarmor 
persarmor;Flak/Jacket;75;5.5;TA;1/5/1/3;None
persarmor;Flak/Paints;75;5.5;L;1/5/1/3;None
persarmor;Flak/Shorts;100;3.5;L;1/5/1/3;+1 to attack's up
persarmor;Flak/Skirt;100;3.5;L;1/5/1/3;+1 to attack's up
persarmor;Flak/Kilt;100;3.5;L;1/5/1/3;+1 to attack's up
persarmor;Flak/Suit;150;8.6;TAL;1/5/1/3;None
persarmor;Flak/Vest;50;2.8;T;1/5/1/3;None
persarmor;Ablative/Jacket;750;2.6;TA;3/1/6/1;None
persarmor;Ablative/Paints;500;4;L;3/1/6/1;None
persarmor;Ablative/Shorts;750;2.5;L;3/1/6/1;+1 to attack's up
persarmor;Ablative/Skirt;750;2.5;L;3/1/6/1;+1 to attack's up
persarmor;Ablative/Kilt;750;2.5;L;3/1/6/1;+1 to attack's up
persarmor;Ablative/Suit;1000;6.3;TAL;3/1/6/1;None
persarmor;Ablative/Vest;400;2.1;T;3/1/6/1;None
persarmor;Ablative&Flak/Jacket;600;4.1;TA;2/4/5/2;None
persarmor;Ablative&Flak/Paints;400;6.3;L;2/4/5/2;None
persarmor;Ablative&Flak/Shorts;750;4.2;L;2/4/5/2;+1 to attack's up
persarmor;Ablative&Flak/Skirt;750;4.2;L;2/4/5/2;+1 to attack's up
persarmor;Ablative&Flak/Kilt;750;4.2;L;2/4/5/2;+1 to attack's up
persarmor;Ablative&Flak/Suit;800;9.8;TAL;2/4/5/2;None
persarmor;Ablative&Flak/Vest;300;3.2;T;2/4/5/2;None
persarmor;Balistic Plate/Suit;1600;22;TAL;4/6/5/4;Encumbering
persarmor;Balistic Plate/Vest;600;8.8;T;4/6/5/4;None
persarmor;Neo-CHANin/Jacket(Unhooded);700;1.9;TA;3/3/2/2;None
persarmor;Neo-CHANin/Jacket(Hooded);830;2.1;TAH;3/3/2/2;None
persarmor;Neo-CHANin/Paints;450;2.8;L;3/3/2/2;None
persarmor;Neo-CHANin/Shorts;375;1.8;L;3/3/2/2;+1 to attack's up
persarmor;Neo-CHANin/Skirt;375;1.8;L;3/3/2/2;+1 to attack's up
persarmor;Neo-CHANin/Kilt;375;1.8;L;3/3/2/2;+1 to attack's up
persarmor;Neo-CHANin/Suit;920;4.7;TAL;3/3/2/2;None
persarmor;Neo-CHANin/Vest;375;1.7;T;3/3/2/2;None
persarmor;Myomer/Suit;5800;18;TAL;3/5/4/5;Encumbering
persarmor;Myomer/Vest;1800;7.5;T;3/5/4/5;None
# Combat Armor - combatarmor 
combatarmor;Helmets/Flak;25;1;H;1/5/1/3;+0 to perception, BAR 2 VS Flash
combatarmor;Helmets/Ablative;200;0.8;H;3/1/6/1;+0 to perception, BAR 3 VS Flash
combatarmor;Helmets/Ablative&Flak;150;0.8;H;2/4/5/2;+0 to perception, BAR 3 VS Flash
combatarmor;Helmets/Standart Combat;100;3;H;3/4/3/1;-2 to perception, BAR 3 VS Flash
