#Archaic Melee - archmelee 
archmelee;Melee Weapons;Axe;3M/2;1;25;4;0;0;0;-2 to attack roll
archmelee;Melee Weapons;Blackjack/Sap;0M/3D;1;5;0.2;0;0;0;-2 to attack roll
archmelee;Melee Weapons;Bokken;0M/2;1;15;2;0;0;0;+1 to attack roll
archmelee;Melee Weapons;Club or Improvised ;1M/1;1;0;2;0;0;0;None
archmelee;Melee Weapons;Dao;1M/2;1;200;3;0;0;0;+1 to attack roll
archmelee;Melee Weapons;Fingernails, Carbon-Fiber Reinforced;1M/1;1;1000;0;0;0;0;no effect vs BAR 3+
archmelee;Melee Weapons;Hatchet;2M/1;1;10;1;0;0;0;-2 to attack roll
archmelee;Melee Weapons;Tomahawk;2M/1;1;10;1;0;0;0;-2 to attack roll
archmelee;Melee Weapons;Katana;2M/2;1;250;2.5;0;0;0;+1 to attack roll
archmelee;Melee Weapons;Knife;1M/1;1;8;0.25;0;0;0;None
archmelee;Melee Weapons;Dagger;1M/1;1;8;0.25;0;0;0;None
archmelee;Melee Weapons;Bayonet;1M/1;1;8;0.25;0;0;0;None
archmelee;Melee Weapons;No-Dachi;1M/3;1;300;4.5;0;0;0;None
archmelee;Melee Weapons;Nunchaku;1M/1;1;10;1.5;0;0;0;Opponent -2 to Def Roll
archmelee;Melee Weapons;Pole Arm;1M/2;2;50;6;0;0;0;None
archmelee;Melee Weapons;Scimitar;2M/2;1;250;2.5;0;0;0;+1 to attack roll
archmelee;Melee Weapons;Staff;0M/2;1;5;2.5;0;0;0;None
archmelee;Melee Weapons;Sword;2M/2;1;30;3;0;0;0;None
archmelee;Melee Weapons;Wakizashi;1M/1;1;150;1;0;0;0;+1 to attack roll
# Archaic Range - archrange 
archrange;Archery;Short bow;2B/1;8/20/50/100;10;0.8;1;1;0.06;Simple action for reload
archrange;Archery;Long bow;2B/2;10/30/80/175;20;1.5;1;2;0.07;Simple action for reload
archrange;Archery;Compound bow;2B/2;10/25/70/160;15;1;1;2;0.07;Simple action for reload, +1 to attack roll
archrange;Archery;Hankyu;2B/1;8/20/55/110;15;0.8;1;1;0.06;Simple action for reload
archrange;Archery;Daikyu;2B/2;10/25/60/125;30;1;1;2;0.07;Simple action for reload
archrange;Archery;Cross Bow, Basic;3B/2;5/16/30/70;10;2;1;1;0.05;Simple action for reload
archrange;Archery;Cross Bow, Heavy;3B/3;5/20/40/100;10;4;1;1;0.06;Simple action for reload
archrange;Thrown Weapons;Dart;1M/1;STR+DEX;3;0.01;0;0;0;+1 to HIT, Half Thrown weapon range(RD)
archrange;Thrown Weapons;Shutiken;2M/1;STR+DEX;5;0.1;0;0;0;Extreme range = 6x short
archrange;Thrown Weapons;(R)Knife;2M/1;STR+DEX;8;0.250;0;0;0;None
archrange;Thrown Weapons;Throwing;2M/1;STR+DEX;8;0.250;0;0;0;None
archmelee;Thrown Weapons;(R)Hatchet;3M/1;STR+DEX;10;1;0;0;0;None
archmelee;Thrown Weapons;(R)Tomahawk;3M/1;STR+DEX;10;1;0;0;0;None
archmelee;Thrown Weapons;Spear;2M/2;STR+DEX;15;5;0;0;0;DoubleThrown weapon range
# Modern Melee - modermelee 
modermelee;Melee Weapons;Medusa Whip;0E/1D;3;2200;0.45;1 PPS;5;0.25;p.264
modermelee;Melee Weapons;Mini Stunstick;0E/3D;1;50;0.150;1 PPS;5;0.25;Do not add STR Damage
modermelee;Melee Weapons;Neural Lash;0E/5D;1;750;0.100;1 PPS;5;0.25;Do not add STR Damage
modermelee;Melee Weapons;Neural Whip;0E/5D;1;500;0.300;2 PPS;5;0.25;Do not add STR Damage
modermelee;Melee Weapons;Stunstick;0E/4D;1;200;0.200;1 PPS;5;0.25;Do not add STR Damage
modermelee;Melee Weapons;Stun-staff, single-end;0E/4D;2;300;3;1 PPS;5;0.25;None
modermelee;Melee Weapons;Stun-staff, double-end;0E/4D;2;500;3;2 PPS;5;0.25;None
modermelee;Melee Weapons;Monowire;4M/5;0;200;0.25;1 PPS;5;0.25;-2 to attack roll, requires aimed shot hit yo head
modermelee;Melee Weapons;Vibroaxe;6M/4;1;150;5;2 PPS;5;0.25;-1 to attack roll
modermelee;Melee Weapons;Vibroblade;6M/2;1;100;0.35;1 PPS;5;0.25;None
modermelee;Melee Weapons;Vibrodagger;6M/2;1;100;0.35;1 PPS;5;0.25;None
modermelee;Melee Weapons;Vibrokatana;6M/3;1;350;1;2 PPS;5;0.25;+1 to attack roll
modermelee;Melee Weapons;Vibromace;3M/5;1;540;6;3 PPS;5;0.25;-2 to attack roll
modermelee;Melee Weapons;Vibrosword;6M/3;1;300;2.5;1 PPS;5;0.25;None
modermelee;Melee Weapons;Vibrosword-Clan;7M/3;1;500;0.25;2 PPS;5;0.25;None
# Balistic - balistic 
balistic;Small Arms;Auto-Pistol;3B/4;5/20/45/105;50;0.5;10;2;0.14;Jam on Fumble
balistic;Small Arms;Auto-Pistol(Hawk Eagle);4B/3B;5/20/50/100;100;0.5;15;10;0.11;Burst: 3, Recoil: –1
balistic;Small Arms;Auto-Pistol(Magnum);3B/5;5/20/50/120;75;0.5;8;4;0.14;-1 to attack roll
balistic;Small Arms;Auto-Pistol(M&G Service Auto);3B/4;5/20/40/85;60;0.65;8;3;0.11;None
balistic;Small Arms;Auto-Pistol(Nambu);3B/4;5/25/50/110;75;0.45;12;2;0.16;Jam on Fumble
balistic;Small Arms;Auto-Pistol(Serrek7875D);3B/3;5/25/50/120;185;0.40;16;3;0.16;+1 to attack and service roll
balistic;Small Arms;Auto-Pistol(Sternsacht Python);4B/4;5/15/40/80;125;0.75;12;4;0.16;Jam on Fumble
balistic;Small Arms;Semi-Auto(TK Enforcer);3B/3B;7/25/55/140;110;1.6;20;3;0.2;Burst: 4, Recoil: –1
balistic;Small Arms;Pistol(Hold-out);3B/3;2/5/8/20;20;0.2;2;1;0.02;None
balistic;Small Arms;Pistol(Sternsacht Claymore);3B/6;5/15/38/70;200;2.5;3;1;0.09;Range Mod:+0/-3/-6/-11
balistic;Small Arms;Pistol(Makeshift);3B/4;5/15/30/65;15;1;1;1;0.01;p.265
balistic;Small Arms;Revolver;4B/4;8/18/40/90;40;0.5;6;1;0.06;None
balistic;Small Arms;Revolver(Magnum);4B/5;8/18/45/100;60;0.5;5;3;0.06;-1 to attack roll
balistic;Small Arms;Harpoon Gun(Pequod, mk1);3B/3;8/12/25/30;350;2.3;1;2;0.135;p.265
balistic;Small Arms;Auto-Pistol(Mydron);3B/2B;6/22/40/90;100;1.5;20;4;0.14;Burst: 6, Recoil: –1
balistic;Small Arms;Auto-Pistol(Stetta);3B/2B;3/10/20/50;150;2;100;10;0.68;Burst: 10, Recoil: –1
balistic;Small Arms;Machine Pistol(Martial Eagle);3B/3B;5/20/50/100;180;1.8;30;20;0.25;Burst: 10, Recoil: –1
balistic;Small Arms;Submachine Gun;3B/3B;5/16/35/80;80;3;50;5;0.57;Burst: 10, Recoil: –1
